State,Andy,AnnMarie,Visited
Alabama,2,0,2
Alaska,0,0,0
Arizona,2,1,3
Arkansas,2,1,3
California,2,1,3
Colorado,2,1,3
Connecticut,2,1,3
Delaware,2,1,3
District of Columbia,2,1,3
Florida,2,1,3
Georgia,2,1,3
Hawaii,2,1,3
Idaho,2,1,3
Illinois,2,1,3
Indiana,2,1,3
Iowa,2,1,3
Kansas,2,1,3
Kentucky,2,1,3
Louisiana,2,1,3
Maine,2,1,3
Maryland,2,1,3
Massachusetts,2,1,3
Michigan,2,1,3
Minnesota,2,1,3
Mississippi,2,0,2
Missouri,2,1,3
Montana,2,1,3
Nebraska,2,1,3
Nevada,2,1,3
New Hampshire,2,1,3
New Jersey,2,1,3
New Mexico,2,1,3
New York,2,1,3
North Carolina,2,1,3
North Dakota,0,0,0
Ohio,2,1,3
Oklahoma,2,1,3
Oregon,2,0,2
Pennsylvania,2,1,3
Rhode Island,2,1,3
South Carolina,2,1,3
South Dakota,2,1,3
Tennessee,2,0,2
Texas,2,1,3
Utah,2,0,2
Vermont,2,1,3
Virginia,2,1,3
Washington,2,0,2
West Virginia,2,1,3
Wisconsin,2,1,3
Wyoming,2,1,3